Index,Comment,Sentiment,Toxicity
80,"11:10 The highest I call someone was from night 11 PM to 5 AM, it was about 689 missed calls back in 2008

PS: Am Not crazy. I was 17. I just wanted to clear a misunderstanding with my girlfriend, which we did when she woke up, received the call, called me crazy and I slept like a baby till noon.",neg,n
81,Jade’s the best,neu,n
82,"Why got alot of kpop songs in the subs haha

Someone loves their kpop",neg,n
83,HHaha the arguing is funny as,pos,n
84,Munah is crazyy,neu,n
85,Nice Jordan thatt,pos,n
86,Like this.,neu,n
87,keisha is really really beautiful ,pos,n
88,entertainment ,neu,n
89,Allahamdulliah,pos,n
90,OnlyFans Topic lessgooo,neu,n
91,POLYGAMY. yes. please.,neu,n
92,Munah is actually really sweet,pos,n
93,fck this channel should get more subscribers!!! at least 1 million laa...,neu,n
94,8:36 bruh,neu,n
95,Wah fml damn funny,neu,n
96,sup,neu,n
97,husband me up Keisha !,neu,n
98,first!!!!,neu,n
99,Luncheow,neu,n
100,HEYOOO,neu,n
101,2:08 shook face hahaha,neu,n
102,Bigbang has five person :'),neu,n
103,Hahahaha dew u better not to fuck up explaining about polygamy,neg,n
104,Trust yourself,neu,n
105,OOoOooOooooooo,neu,n
106,first,neu,n
107,Jk? If kpopers saw this they would say its jungkook from bts,neu,n
0,"No story can beat Jade's chicken story, period. ",neu,n
1,The most iconic jade story i cam never forget it ,pos,n
2,Her story about the one she threw the handphone in the cinema and blaming the movie auntie for picking it up comes quite close haha,neu,n
3,what was it about again,neu,n
4,"Initially here for shigga shay, and quite dissappointed to see Billie Eilish as special guest instead.",neg,n
5,"Shigga, if ya reading this, love ya bro",pos,n
6,I feel Jade’s pain for the white Chanel bag. It probably cost at least $8k! If I’m in her shoes I will be very pissed at my sister too no matter how much I love her,neg,n
7,Good episode sia. EH SHIGGA SHAY DIDN'T EVEN END UP TELLING HIS STORY WTF MAN (it's ok still love u bro),pos,n
8,Walking out of dinner in front of people your partner doesn't know very well is just so selfish. It's embarrassing for the other party and shows how you're only prioritising your own feelings.,neg,n
9,FINALLY a longer episode n the producers actually had more of a voice! Love it. Def  some good shit,pos,n
10,"I think Kesha's fight was very fair - imo even if I might not be the biggest birthday person myself, it's fair to assume that other people would be, or at least care a little bit about their own birthdays. Like how we celebrate birthdays for/surprise our friends. It's just a nice thing to do, and shows some thought.",pos,n
11,Yesss agreed its not about the “birthday” but more so showing that this person is important to you and you want to show it,neu,n
12,"Btw whatever keisha is talking about is from the book called The Seven Principles for Making Marriage Work by John M. Gottman and Nan Silver!

If anyone's interested!",neu,n
13,"watching you guys talk is fun! you guys have such a great vibe! it reminds me of couple of years ago where a Malay dude from Singapore came to a nightclub in my country. He was so casual, open minded & relatable.",pos,n
14,One of the best episode yet! Great topic n sharing !!,pos,n
15,Shigga was my senior in secondary school & I remember him performing on our school’s stage :’) Now he’s collaborating with Jay Park while I’m just a potato!!! His rap was sooo good!! & shigga morning was such a throwback hahaha,pos,n
16,you're a happy potato,neu,n
17,Keisha fangirling over Jay Park is so me lmao,pos,n
18,keisha kinda killin it in that dress ngl,neu,y
19,Ngl would love to see shigga be back on the talk show ,pos,n
20,the way i learnt so many life lessons from them... amazing. ,pos,n
21,just good vibes from this video!! Love it,pos,n
22,"i feel like a lot of men tend to do stonewalling cause theyre just not that good at expressing their feelings and they want some time to think through about what happened. anywaysssss, look at keisha she was damn annoyed with dew HAHAHA",neg,n
23,Everybody needs this video in their life! I cried when keisha spoke about fighting styles and when Munah spoke at the end hahaha tell me more about the different fighting styles!,neu,n
24,"I lost it when Dew shouted, JATAN KELEPEK! ROFL",neu,n
25,the caption at 2:48 lol,neu,n
26,"Something brought me to this channel. I don't know what. Really.. It just like hypnotise. I'm gonna add this to watch later, coz it's Ramadhan. but I will definitely watch later.",neu,n
27,can you guys just do this thing like everyday,neu,n
28,I just had a Gojek ad in the middle of the video and I found the music of the ad insanely similar to Just Saying TV’s intro music LOL,neu,n
29,"LMAOOO 15:32-33 the caption 
 YA YA YA BOMBAYAH",neu,n
30,"""Noted with thanks!"" ",pos,n
31,"It's nice to see the guest be as entertained as everyone and blend in tgt 
️
️ the rap was 
 ",pos,n
32,"JANTAN KELEPEK, i dont even know what it means but gonna used it",neg,n
33,Shigga’s rap omg ,neu,n
34,"Jade & Tyen
Fighting Since 1995",neu,n
35,Miss Saffron man ! This guy is kinda a yes man,neu,n
36,"""JANTAN KELEPEK"" KJKSJKSJKDSJ omg rip",neg,n
37,That why i really don't like to be in love anymore. This will happen to me.. last time... Really really sad..... and crazy too..,neg,n
38,Dew looking at his watch just before the vid ends....,neu,n
39,Low-key having heat kicks drew,neu,n
40,Who added the kpop reference to the subtitles at 14:33 after dew says ya ya ya 2x LMAO,neu,n
41,"LOL the subs guy : yayaya, yayata, boombayah",pos,n
42,"Munah
️",neu,n
43,Munah and Keisha's outfits are BOMBBB,neu,n
44,KEISHAAAA ,neu,n
45,munah has the sexiest arms ive seen,pos,n
46,For a sec I thought that’s Jian Hao,neu,n
47,The subtitle was funny,pos,n
48,Did anyone see that boombayah,neu,n
49,"Ehh siall laa 
 long time sia tak dengar 'jantan keleperrr'.. My english teacher used to say  it when she got  angry at some boys in the class ",neg,n
50,Someone please please please translate what is JATAN KELEPEK,neu,n
51,Keisha is gorgeous,pos,n
52,Shigga is so wise,neu,n
53,My man also thinks that birthdays are not important and he say he will not do anything for those days. Don’t wanna do anything special just for it,neg,n
54,"Keisha has the same birthday as me. 
️",neu,n
55,"just sayin! 
️
️",neu,n
56,"shit its been a hot second since i last saw dew, mans lost some weight and looking fire",neu,n
57,"KEISHA
️",neu,n
58,But you are Munah ,neu,n
59,Shigga looks like Steve aoki,neu,n
60,"Oh hey its munah, lama xtgk channel munahirzi",pos,n
61,This Singapore or Malaysia,neu,n
62,Jantan Kelepek. Mokondo in indonesia ,neu,n
63,my partner says his friends and car is a priority and im not .,neu,n
64,its that kesha wee ?,neu,n
65,Good content guys... #munahishot,pos,n
66,Wait.. she got no boyfriend... her bday is 28 sept... my bday is 29 sept ,neu,n
67,Keisha eye candy,neu,n
68,who and what is that ?,neu,n
69,Billie eillish look a like has a good deep voice,pos,n
70,Jantan Kelepek ,neu,n
71,Hahaha Billie Eilish,pos,n
72,Hi,neu,n
73,Hello!,neu,n
74,I’m here for keisha lol naw but for real I had a worst fight that didn’t make sense to me haha,neg,n
75,Please invite hirzi,neu,n
76,Is jade married or not lols,neu,n
77,"You throw glass, you have anger issue, you wrong, and he’s a little wrong, so you’re both wrong",neg,n
78,jantan kelepek wkwkwkwkw,neu,n
79,Hahaha jantan kelepek,neg,n
80,dew fighting style very lame one,neg,n
81,First,neu,n
82,"The Unlikes are for those close minded people . I suggest they live in the well.
Well Well Well..",neg,n
