Index,Comment,Sentiment,Toxicity
170,"""you can't expect what you didn't give out to your kids""",neu,n
171,the middle girl i love her she is my voice me love her,neu,n
172,bro my parents expect me to take care of them when they are old until they die,neu,n
173,in south africa it's literally even called black tax,neg,n
174,yes.,neg,n
175,a lot of parents had their kids with this in mind,neg,n
176,it's so weird this idea of our parents i'm about to have a baby and i didn't make him so he can pay my bills when i'm old,neg,y
177,when did i have to become the parent?,neu,n
178,omg guyanese parents take one. i choose to be different.,neu,n
179,yes! speaking facts only,neu,n
180,my dad says this all the time,neg,n
181,"heavy on ""you can't expect what you didn't give""",neu,y
182,"not mine, stay safe y'all. jokes aside, my parents saw their siblings made into my grandparents' retirement plan so they decided to break the cycle",neu,n
183,omg finally,neg,n
184,maybe the old generation but i feel like today's generation raising their kids to be strong and independent i want my kid to be secure for for life,neg,n
185,the fact that i dont even feel the love. i just feel the expectation to be her slave,neg,n
186,not me playing this at full volume,neu,n
187,i think my parents had me as a retirement plan...i didnt mind at all...took care of my late pops till his last breathe...and im doing d same for my mum,neu,n
188,how you treat them is how they've loved you.,pos,n
189,they try that to me but sike!,neu,n
190,my mom threatened to sue me if i don't take care of her when she's older.,neg,n
191,"if you dont know their retirement plan, you are the retirement plan",neu,n
192,i talked with my canadian friends about this and they were shocked,neu,n
193,@deija y parents,neu,n
194,agreed with azura!!!,pos,n
195,i didn't ask to be here man,neu,n
196,yep my parents are like that,neu,n
197,so sad,neg,n
198,lol!,neu,n
199,actually true.,neu,n
200,im tired of that! too much pressure.,neg,n
201,@tkai i agree w this,neu,n
202,"minha mae diz que eu sou o ""investimento"" dela, e ela sempre faz questao de sempre ressaltar isso, o medo que eu tenho de decepcionar ela nao ta escrito",neg,n
0,"aww k""minnie so sweet",neu,n
1,what was that hug,neu,n
2,date only 5yrs marriage 7yrs n break up pretty soon. as for me date 7 yrs marriage 10yrs n bitter divorce,neu,n
3,why the guy suddenly hug the interviewer? kinda strange for me,neu,n
4,lmao my sis on 10 years relationship and they not married yet,neu,n
5,how cuteeeeeee,neg,n
6,what the hell was the hug,pos,n
7,oh no. the wife is still saying thankyou and hugging him,pos,n
8,good life together aaaaaaa gemassshhhh,neu,n
9,romance,pos,n
10,"omg, so sweet",neu,n
11,please make more of this contenttttt,neu,n
12,so cute,pos,n
13,5 years not long i dated 10 years before i thought of ok we should be married by now and covid happen so yeah let's get married babe,neu,n
14,awwwww,neu,n
15,aiyo why no shoes or slippers for the boy ha ?,neu,n
16,the guy is just shy y'all need to be chill,pos,n
17,we don't talk that much,neg,n
18,cute and mommy is so pretty and adorable,pos,y
19,"no ""i love you "" from her husband ??",neu,n
20,she's amazing,neu,n
21,awww cute,neu,n
22,n`ngsaawkhunmikh brmwuthi khaa,neg,n
23,hwaanchammaak so sweet!!~,neu,n
24,lin yang dipeluk malah mc nya @naa.ty,neu,n
25,awkward hug nalito ba sya sino dapat ihhug nya,neu,n
26,naarakmaakkha,neu,n
27,naaraakkkk,neu,n
28,@kendrick menor,neu,n
29,so cute,neu,n
30,she's so pretty,neu,n
31,he's thai. he's shy w affection but is courteous,neu,n
32,"wow she is so adorable but honestly i don't see love towards her from him,he looks so forced and hug the other and not the wife",neu,n
33,hope u guys break up soon,neu,n
34,guys the girl is a sister of a thai celebrity. it's normal for her to be expressive or good at interviews. the guys could just be shy. it's normal. touch some grass yall,neu,n
35,hope u break up soon,neu,n
36,this host eq damn high - lean it to hug the wife after the husband hugged her,neu,n
37,@rewishen harkhoe,neu,n
38,minniin`ngsaawmiksaamiiebnch,neu,n
39,okhrtnaarak aeng,neu,n
0,i'll call her mommy,neu,n
1,i've been training to be a househusband my whole life. i deserve it,neu,n
2,even as a girl i. if he is higher than ne by a small or medium then np but if he is extremely rich that would make feel awkward,neu,n
3,"look for class not wealth, coz that's harder to come by",neu,n
4,what?!!? throw your ego out and eat! that's my goal !!!!!!!,neu,n
5,"i'm with this rich girl that doesn't show she is. 10 years and 2 kids later, she still doesn't show it. i'm kind of tired now, i just wish she would.",neg,n
6,"did you date to feel ego or to feel love. as long the partner is there & you both enjoy each other. as you given her what she wanted, a love one.",pos,n
7,"so what if the girl is way richer than you?? so what? if you truly love each other, money is nothing, there's nothing wrong",pos,n
8,why her voice sound very familiar. is she radio announcer?,neu,n
9,bro if she's rich that's a w for me,pos,n
10,it's really a big gap and probably 2 different world. love might conquer everything for start but ultimately that's not enough,neu,n
11,i had this once but i didn't know for a few months till i asked her if i could have some change and she gave me $200. i thought it was odd at first.,neu,n
12,this conversation is so constructive makes me want more,pos,n
13,is this a singaporean show?,neu,n
14,@josh.goldstein i wish,neu,n
15,id pay for the places that i can afford and let her do her magic for the places that i cant,neu,n
16,"it's irrelevant, doesn't matter who brings in the most money, as long as you are happy together",pos,n
17,i couldn't find u on apple podcast,neg,n
18,"what is the lady's name?
aww..i like the way she speaks. and she l looks elegant.",pos,y
19,i leave,neu,n
20,care about character and don't think too much into things. speak your mind when things bother you. simple. talk things out,neu,n
21,wait why does she have to be a tycoons daughter to be wealthy?,neu,n
22,"i wouldn't feel comfortable not because i'm a man, but because of my character. i wouldn't want her to think i'm there 4 the money. i'd work hard...",neg,n
23,just drop the ego and see where it goes,neu,n
24,@nellislm idk man we seem q okay tgt,neu,n
25,"if she agreed to go out with you, it means fancy places are not hindrances",neu,n
26,house husband time,neu,n
27,the voice really asmr,neu,n
28,not really though,neu,n
29,very pressure,neu,n
30,strike 4d,neu,n
31,real,neu,n
32,nah it wouldn't change the relationship for me. i'd definitely love it and feel charmed. but i would also 100% feel uncomfortable with feeling spoiled,neu,n
33,mummy,neu,n
34,what if the guy is extremely rich..will she feel pressured too??,neu,n
35,i did . there was not much pressure . but the realty hits when you meet the dad. then wow.. u realise it's either you become a ms man or be yr own man,neu,n
36,"if she is flexing daddy's money then meh, if its hers, then lets see.",neu,n
37,auto give up,neu,n
38,nothing wrong with a girl that makes way more than i do and has the right morales,neu,n
39,"nah man, she rich, she paying for dinner lmaoooo, she want me to do the housework too? ayo househusband time",neu,n
40,"this only applies of the girl is more wealthy than the guy, because it's more acceptable that the guy makes more money in the relationship",neu,n
41,dream girl,neu,n
42,aiya tiam la sonia,neu,n
43,"definitely not for me, based on experience.",neu,n
44,mommy?,neu,n
45,what if its vice versa,neu,n
46,"""tycoons daughter"" not her money then",neu,n
47,questions are unnecessary since you can probably find a drama about this,neg,n
48,similar for friendships too,neu,n
49,still in search of rich lady,neu,n
50,really it's on her vibe,neu,n
51,nahhh if shes wealthy imma be the in home dad and support my wife all the way,neu,n
52,can be girlfriend only not wife...,neu,y
53,say less,neu,n
54,when wealth come i want to make my life better than before... but do not look down on people whether rich or poor because they have darkness side...,neu,n
55,i actually don't mind,pos,n
56,nope,neu,n
57,@b0doh scared the rich girl end up meet some rich guy same level as her then go for the same lvl guy know,neu,n
58,the guilt,neu,n
59,it's a bonus,neu,n
60,i'd keep it real! and eat there once or twice and then next time we're going to a place i can actually afford.,neu,n
61,v rich girl please,neu,n
62,its tough man. i feel like ots even harder to please her at least financially. like what gifts would she expect and other things...,neg,n
63,"i think what you can't provide financially, you make up for it in other ways. like in the bedroomit's only bad when you provide nothing.",neg,n
64,really loved the way this was asked and the constructive responses! following on spotify for moreeee,pos,n
65,"must be stressful, because if you're not used to a fancy life that's actually difficult to adapt to it.",neg,n
66,"i've been a househusband apprentice for 16 years, i'm prepared to serve",neu,n
67,"look for the person, not the status",neu,n
68,i think if you set clear expectations about what you're both comfortable with it becomes easier,pos,n
69,id be like yes mommy take me out,pos,n
70,tell me you rich but don't,neu,n
71,"yeah it happened to me , i felt so guilty because i'm not that financially stable to afford such fancy dinner",neg,n
72,i mean if they can help me land a better job with good chance to move up,pos,n
73,that's mommy right there,pos,y
74,if it was me it must be suffocating i cant,neg,n
75,within the next week i would be on my knee with a ring,neu,n
76,"100%. especially for guys who have self respect, they would defs feel the pressure",neu,n
77,runnit upppppppp,neu,n
78,"please, i'm trying to be a passenger princess",neu,n
79,complex,neu,n
80,ooo the feeling of not being able to be good enough,pos,n
81,fam i'll take advantage,pos,n
82,why should you care ? she was literally paying you like a boss and your task is to eat and chat,neu,n
83,if both side chose each other then why would money pressure you???,neu,n
84,"i mean if she's with you she's probably very willing to ""spoil"" you when you don't have that type of money. as long as she's happy with you as you",neu,n
85,"no, not me.",neu,n
86,it wouldn't bother me but i'd ask her with u get board of me cuz your just paying all the time like it's her doing all te surprised etc,neu,n
87,pay up!,neu,n
88,skill issue tbh,neg,n
89,true,neu,n
90,i would call her mommy. i'll do whatever she wants.,neg,n
91,"the thing is most fancy restaurants doesn't really worth the price, they're overpriced af",neg,n
92,ill make sure that tycoon daughter carry may child,neu,n
93,if she didn't work for it ..it wont mean shit.,neg,n
94,look if she's got good attitude. in my case she wasn't and she only cared abt fancy stuff and spoiled af. she ended up with some sports car guy tho.,neu,y
95,"just enjoy the moment, she is paying she is lonely she needs it, u like her she likes u",pos,n
96,"cap! it changes nothing, she will also want gifts from you the small things go a long way. both parties just need to be real to each other.",neu,n
97,perfecf,pos,n
98,to fellow low income childhood homies: i'm on generationally wealthy partners. so many quiet things about your core values creep up over time.,neu,n
99,"food is edible, ego is not.",neu,n
100,"most important thing is to date someone you love, who has a big heart, that you trust and you feel you can have a relationship with.",pos,n
101,"financially feels small compared to her, impressing her family and tryong to win over her dad. stress will eat me for lunch",neu,n
102,"maybe take turns picking the place. good food are everywhere, not limited to fancy places",neu,n
103,yes. i'm not gonan date a rich girl unless im rich too,neu,y
104,this happened to me and i couldn't help but feel inadequate. i felt like i couldn't keep up with her and constantly playing catch up,neg,n
105,it only changes the dynamic if the girl is rich,neu,n
106,"no, come visit me. welcome.",pos,n
107,finna watch this rn,neu,n
108,i've taken a big interest to this podcast,pos,n
109,"i wouldn't really care, just tell her you can't afford it if you can't and if she shouts try pay back it in different ways like flowers yk",neu,n
110,"i had the same situation, it's pretty stressing",neg,n
111,"my first thought was ""u want a house husband?""",neu,n
112,well i would feel weird but happy,neu,n
113,i can hear sonia chew's voice the whole day,neg,n
114,"if that happens to me, i'm willing to risk it all",neu,n
115,@anna oh,neu,n
116,wouldnt work for me. idk why ppl want their partner to pay for stuff for me its uncomfortable,neg,n
117,she's beautiful,pos,y
118,"nahhhh i""ll beeee excited asss hellll",pos,n
119,both of you look so perfect with each other,pos,n
120,"if you actually liked her and she was cool, try something she wouldn't expect.",pos,n
121,her voice,neu,n
122,@ghost7 she's fire,pos,y
123,waaa i don't mind siaa,neu,n
124,no one would care lmfao,neu,n
125,one date and ghosted. out of my league fam.,neu,n
126,run,neu,n
127,@dicesuki_ hahahahahahahahahahahah yes po,pos,n
128,@victorchen361,neu,n
129,lol jackpot la,pos,n
130,umm i always thought that wouldnt ruin it but now that she puts it that way it would feel weird cuz thats outside my comfort zone,neg,n
131,well there wasn't any change in dynamic when i dated @germaineleonora,neu,n
132,she's pretty,pos,y
133,my last two exes one made 100k a month the next made about 450 to 500k a month. it didn't change anything.,neu,n
134,@carorayne1168,neu,n
135,@ziana,neu,n
136,@kwang @haikal.,neu,n
137,"i think it's not abt the ego. one time i had a friend, she is fairly wealthy in my country. and there is this boy, who came from a middle class family",neu,n
138,this is exactly what i'm going through rn dude i met this guy and i like him a lot because he adds such a different perspective to everything,neu,n
139,i cant find you on podcast,neg,n
140,love the eyeliner!!!,pos,n
141,her eyeliner looks sooo good,pos,n
142,if a woman is richer than you. she will appreciate you being genuine and sincere than your wealth or lack there of,neu,n
143,give it to me,neu,n
144,if u feel pressured u are not meant to be with her. being in a relationship is also knowing how to be mature about stuff.,neu,n
145,she low-key has a nigerian accent,neu,n
146,"if you can't support her financial, there a lot of other stuff she need i'm sure you can think of something",neg,n
147,it's outside your control. as long as she doesn't look down on you bc of it then no problem,neg,n
148,she looks like hwasa,neu,n
149,her views on things and morals should be the things to look out for,neu,n
150,definitely... hmmm,neu,n
151,"i think it's good to tell your partner about it. ask her about her opinion and how she'd like to go about it. don't be scared, she chose you",pos,n
152,"it feels weird when i more and more cant relate to ""not being rich""situations
jk",neg,n
153,thank you for the food,neu,n
154,high ses,neu,n
155,"reminds me of crazy rich asian ""it's not my job to make you feel like a man"" ..",neu,n
156,so whats the point of this vid,neu,n
157,"i would eat with her, but i wonder am i the side chick?",neu,y
158,"that's why in islam we have to be ""sekufu"" meaning socially and financially at similar level coz all come with their own lifestyle. not a must",neu,n
159,i think i'd just enjoy it,pos,n
160,"a man is natural provider, we will spend based on what we can afford. so we wont feel comfortable.",neg,n
161,bro lemme meet that girl i wanna eat good.,pos,n
162,"""hell nah, you wanna cover it? k what do you want for breakfast? i'll make it, place need cleaning? i gotchu""",neu,n
163,"any woman below 30 who is wealthy out there, im up to be a stay at home husband thanks.",neu,n
164,it's 4:27am in ca when i stumble across your account. ty so much. this helps me understand my ldr with my gf in singapore,pos,n
165,"nah fuck that, i have no shame. im along for the ride if youll have me",neg,n
166,let's bto ~,neu,n
167,this generation if the guy doesnt pay for the foods the guys will be insulted,neg,n
168,i'll help her wash undergarments,neu,n
169,where do i find such rich girls please? i can be a stay at home dad lmao,neu,y
170,"its ok i go visit cai fan stall auntie she still calls me liang zai, u go eat ur hdl",neu,n
171,sure she can pay for all my bills and buy me meals. changes nothing for me. i won't feel emasculated at all. it's the 21st century.,neu,n
172,sugar mommy but with a bit of spice,neu,n
173,"if the guy is uprooted from his cores to accommodate the dynamic, he must reconsider",neg,n
174,why are people listening this db ass speaking,neg,n
175,end up getting cheated....,neg,n
176,nothing wrong with that .. but it just doesn't feels right ... like u leeching off her and suck all the benefits from her,neg,y
177,i honestly wouldn't care,neu,n
178,a.k.a chinese,neu,n
179,i would not care at all,neu,n
180,i dip see i'm a pussy and i can't handle it,neg,n
181,"""she's rich... she's like a tycoon's daughter"" is it so much a stretch to think she earnt it?",neu,y
182,young people with their dynamics lol who freakin cares,neu,n
183,"when guys pay, do girls feel pressured?",neg,n
184,"fk no, where ma mommy",neg,n
